nb_thread;distance;min_duration;max_duration;avg_duration
1;864;1785636212;1785636212;1785636212
16;864;189761508;189761508;189761508
32;864;207337374;207337374;207337374
48;864;131595019;131595019;131595019
64;864;506916635;506916635;506916635
80;864;580943180;580943180;580943180
96;864;41594709;41594709;41594709
112;864;31780060;31780060;31780060
128;864;694152778;694152778;694152778
144;864;635896982;635896982;635896982
160;864;28705596;28705596;28705596
176;864;749817603;749817603;749817603
192;864;30651524;30651524;30651524
208;864;1153623680;1153623680;1153623680
224;864;1299648172;1299648172;1299648172
240;864;1423466125;1423466125;1423466125
256;864;1507023854;1507023854;1507023854
