nb_thread;distance;min_duration;max_duration;avg_duration
1;865;10875227382;10875227382;10875227382
16;865;1174868471;1174868471;1174868471
32;865;613050131;613050131;613050131
48;865;406352686;406352686;406352686
64;865;304907865;304907865;304907865
80;865;259977596;259977596;259977596
96;865;228721514;228721514;228721514
112;865;204799256;204799256;204799256
128;865;186320173;186320173;186320173
144;865;177931627;177931627;177931627
160;865;180372808;180372808;180372808
176;865;165444549;165444549;165444549
192;865;158698115;158698115;158698115
208;865;154265371;154265371;154265371
224;865;148707075;148707075;148707075
240;865;141411881;141411881;141411881
256;865;136996049;136996049;136996049
