nb_thread;distance;min_duration;max_duration;avg_duration;speedup;efficiency
1;865;10875227382;10875227382;10875227382;1.0;1.0
16;865;1174868471;1174868471;1174868471;9.25654884;0.5785343025
32;865;613050131;613050131;613050131;17.7395401;0.5543606281
48;865;406352686;406352686;406352686;26.76302571;0.5575630356
64;865;304907865;304907865;304907865;35.66725766;0.5573009009
80;865;259977596;259977596;259977596;41.8314022;0.5228925275
96;865;228721514;228721514;228721514;47.54789872;0.4952906116
112;865;204799256;204799256;204799256;53.10188911;0.4741240099
128;865;186320173;186320173;186320173;58.36849122;0.4560038377
144;865;177931627;177931627;177931627;61.12026044;0.424446253
160;865;180372808;180372808;180372808;60.29305361;0.376831585
176;865;165444549;165444549;165444549;65.73336775;0.373485044
192;865;158698115;158698115;158698115;68.52776658;0.356915451
208;865;154265371;154265371;154265371;70.49688022;0.3389273088
224;865;148707075;148707075;148707075;73.13187609;0.3264815897
240;865;141411881;141411881;141411881;76.9046229;0.3204359288
256;865;136996049;136996049;136996049;79.38351114;0.3100918404
